NCT Id,Brief Title,Status,Phase,Sponsor,Country,Start Date,Enrollment
NCT02366702,Bilateral Transfemoral Ambulation: Passive vs. Powered Prosthetic Devices,ACTIVE_NOT_RECRUITING,N/A,University/Vanderbilt,US,2015-02,3
NCT02542761,Comparative Performance of Dynamic Elastic Response Feet,COMPLETED,NA,Mayo Clinic,US,2015-06,10
NCT02424903,European Prosthetic Joint Infection Cohort Study (EPJIC),UNKNOWN,N/A,Pro-Implant Foundation,DE,2015-05,5000
NCT04135222,CBCT/CAD/PDIP for Periodontal Phenotype,COMPLETED,NA,Wroclaw Medical University,PL,2018-10,NA
NCT06474810,Prosthetic Joint Infection Diagnosis and Treatment,RECRUITING,N/A,Academic,US,2024-06,500
