NCT_ID,BriefTitle,Status,Phase,StartDate,Sponsor,Condition,Enrollment,Location
NCT05902221,Impact of Rifampicin in Treatment Outcome of Cutibacterium Acnes Prosthetic Joint Infections,RECRUITING,Phase 3,2024-05,Centre Hospitalier Universitaire de Nice,Infections Joint Prosthetic,235,France (Annecy; Bordeaux; Nice; Lyon; Strasbourg)
NCT01901081,Feasibility of Implantable Myoelectric Sensors to Control Upper Limb Prostheses,COMPLETED,N/A,2013-05,The Alfred E. Mann Foundation for Scientific Research,Amputation Traumatic,3,United States
NCT05399186,Incidence of Modifiable Risk Factors and Their Association With Infections in Primary Elective Arthroplastic Surgery,COMPLETED,N/A,2018-08,Landspitali University Hospital,Total Joint Arthroplasty,1484,Iceland
