nct_id,title,status,sponsor_type,phase,condition,country,start_date
NCT05990062,K-Socket-Harness: Variable-Compliance Socket for Transradial Amputees,RECRUITING,FED,Device,Amputation Surgical,United States,2025-06-01
NCT06243549,Personalisation of Prosthetic Care for Lower-Limb Amputees,ACTIVE_NOT_RECRUITING,OTHER,Observational,Low Back Pain,United Kingdom,2023-09-01
NCT02366702,Bilateral Transfemoral Ambulation: Passive vs Powered Prosthetics,UNKNOWN,OTHER,Observational,Amputation,United States,2015-02-01
