Study,NCT_ID,Title,Status,Phase,Sponsor,Condition,Country,Start_Date,Completion_Date
1,NCT06243549,Exploring the Associations Between Biomechanical and Psychological Mechanistic Pathways of Low Back Pain in Lower-Limb Amputees,ACTIVE_NOT_RECRUITING,Observational,University of Bath,Low Back Pain,UK,2023-09-01,2026-10
2,NCT02424903,European Prosthetic Joint Infection Cohort Study (EPJIC),UNKNOWN,Observational,Pro-Implant Foundation,Prosthesis-related Infections,Germany,2015-05,2018-12
NCT04135222,Evaluation of Periodontal Phenotype Using CBCT CAD and Prosthetic-Driven Implant Planing,COMPLETED,Observational,Wroclaw Medical University,Periodontal Phenotype,Poland,2018-10-11,2019-07-07
